ID,Title,Content,Short Description,Sku,Price,Regular Price,Sale Price,Total Sales,Eligibility,Next Highe Aassembly,OEM,OEM Part Number,TBQ,Categories
2557,P00416,Seal,Seal,9894b94b6041,171.64,171.64,,1,"A330-203, A330-301, A340-211, A340-212, A340-213, A340-311, A340-313, A340-642, CF6-80C2D1F, CF6-80C2A5F, MD-11F, A330-202","FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV, FYLB52230-1 : ANTI-ICE PNEU. SOV, FYLB52230-2 : ANTI-ICE PNEU. SOV",Smiths Aerospace,AL5-2,no,"FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV, FYLB52230-1 : ANTI-ICE PNEU. SOV, FYLB52230-2 : ANTI-ICE PNEU. SOV"
2558,P00417,Seal,Seal,486f0950ed27,93.08,93.08,,0,"A330-203, A330-301, A340-211, A340-212, A340-213, A340-311, A340-313, A340-642, CF6-80C2D1F, CF6-80C2A5F, MD-11F","FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV, FYLB52230-1 : ANTI-ICE PNEU. SOV, FYLB52230-2 : ANTI-ICE PNEU. SOV",Smiths Aerospace,BYLB849,no,"FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV, FYLB52230-1 : ANTI-ICE PNEU. SOV, FYLB52230-2 : ANTI-ICE PNEU. SOV"
2559,P00418,Seal,Seal,5b75dd1d3f4b,152.45,152.45,,0,"A330-301, A340-211, A340-212, A340-213, A340-311, A340-313","FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV",Smiths Aerospace,FYLB127,no,"FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV"
2560,P00419,C-Seal,C-Seal,fbf1981bc0c9,148.4,148.4,,1,"A330-301, A340-211, A340-212, A340-213, A340-311, A340-313","FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV, FYLB52230-1 : ANTI-ICE PNEU. SOV, FYLB52230-2 : ANTI-ICE PNEU. SOV",Smiths Aerospace,RYLB179,no,"FYLB52145-1 : ANTI-ICE PNEU. SOV, FYLB52145-2 : ANTI-ICE PNEU. SOV, FYLB52230-1 : ANTI-ICE PNEU. SOV, FYLB52230-2 : ANTI-ICE PNEU. SOV"
2561,P00420,Shaft Seal Set,Shaft Seal Set,53091653fa70,10000,10000,,0,"CFM56-5B1, CFM56-5B2/P, CFM56-5B4/P, CFM56-5B5/P, CFM56-5B7, CFM56-5B1/P, CFM56-5B2/2P, CFM56-5B3/2P1, CFM56-5B6, CFM56-5B7/P, CFM56-5B1/2P, CFM56-5B3/P, CFM56-5B4, CFM56-5B4/2P1, CFM56-5B6/P, CFM56-","326625-2 : ROTOR ACTIVE CLEARANCE CONTROL VALVE, 326635-2 : HPTCC VALVE, 326635-3 : HPTCC VALVE",Whittaker Controls,324692,yes,"326625-2 : ROTOR ACTIVE CLEARANCE CONTROL VALVE, 326635-2 : HPTCC VALVE, 326635-3 : HPTCC VALVE"
2562,P00421,Poppet Valve,Poppet Valve,9e80c8116903,10000,10000,,0,"A319-112, A319-114, A319-131, A319-133, A320-211, A320-212, A320-214, A320-231, A320-232, A321-131, A321-211, A321-231, A319-111, A319-132, A320-216, A320-233, A320-271N, A321-111, A321-232","748A0000-08 : ANTI-ICING VALVE, 748B0000-01 : ANTI-ICING VALVE",Liebherr,1011-0016,yes,"748A0000-08 : ANTI-ICING VALVE, 748B0000-01 : ANTI-ICING VALVE"
2563,P00424,Seal Ring,Seal Ring,1627d9af9570,235.63,235.63,,2,"A319-112, A319-114, A319-131, A319-133, A320-211, A320-212, A320-214, A320-231, A320-232, A321-131, A321-211, A321-231, A330-343, A340-211, A340-212, A340-213, A340-311, A340-313, A319-111, A319-115,","963A0000-02 : TRIM AIR VALVE , 963B0000-01 : TRIM AIR VALVE",Liebherr,963-0113,no,"963A0000-02 : TRIM AIR VALVE , 963B0000-01 : TRIM AIR VALVE"
2564,P00426,Pin  or Needle,Pin  or Needle,e0c02bad3be6,24.23,24.23,,0,"A319-112, A319-114, A319-131, A319-133, A320-211, A320-212, A320-214, A320-231, A320-232, A321-131, A321-211, A321-231","757A0000-08 : AIR CYCLE MACHINE, 757A0000-09 : AIR CYCLE MACHINE, 757A0000-10 : AIR CYCLE MACHINE, 757C0000-02 : AIR CYCLE MACHINE",Liebherr,S550-2,no,"757A0000-08 : AIR CYCLE MACHINE, 757A0000-09 : AIR CYCLE MACHINE, 757A0000-10 : AIR CYCLE MACHINE, 757C0000-02 : AIR CYCLE MACHINE"
2565,P00428,Diaphragm,Diaphragm,bb92f936a5e3,156.04,156.04,,31,"737-300, 737-400, 737-500, 737-700, 737-800, 737-600","3289630-1 : 3"" STARTER CONTROL VALVE, ""3289630-2 : 3"""" STARTER CONTROL VALVE"", ""3289630-3 : 3"""" STARTER CONTROL VALVE""",Honeywell,974907-2,no,"3289630-1 : 3"" STARTER CONTROL VALVE, ""3289630-2 : 3"""" STARTER CONTROL VALVE"", ""3289630-3 : 3"""" STARTER CONTROL VALVE"""
2566,P00430,Seal Ring Set,Seal Ring Set,9a5c16acd1b0,116.69,116.69,,12,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690-11 : HP BLEED CONTROL VALVE, 978690-2 : HP BLEED CONTROL VALVE, 978690-3 : HP BLEED CONTROL VALVE, 978690-4 : HP BLEED CONTROL VALVE, 978690-5 : HP BLEED CONTROL VALVE, 978690-6 :",Honeywell,881787-10,no,Uncategorized
2567,P00432,Hinge Pin,Hinge Pin,5ce60ac65438,183,183,,18,"747-200B, 747-200F, 747-200C, 747-300, 747-400","9032-2-4 : RAM AIR CHECK VALVE, 9032-3-1 : RAM AIR CHECK VALVE, 9032-3-2 : RAM AIR CHECK VALVE, 9032-4-1 : RAM AIR CHECK VALVE, 9032-4-2 : RAM AIR CHECK VALVE",Aero Controlex,903208,no,"9032-2-4 : RAM AIR CHECK VALVE, 9032-3-1 : RAM AIR CHECK VALVE, 9032-3-2 : RAM AIR CHECK VALVE, 9032-4-1 : RAM AIR CHECK VALVE, 9032-4-2 : RAM AIR CHECK VALVE"
2568,P00434,Plug Assy,Plug Assy,9d60beedecc0,10000,10000,,0,"A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-231,","C24703001 : PARKING PRESSURE LIMITER, C24703002 : PARKING PRESSURE LIMITER, C24703003 : PARKING PRESSURE LIMITER",Messier Bugatti,GA71213,yes,"C24703001 : PARKING PRESSURE LIMITER, C24703002 : PARKING PRESSURE LIMITER, C24703003 : PARKING PRESSURE LIMITER"
2569,P00434-1,Transparent Plug,Transparent Plug,544feb78f5d4,198.93,198.93,,0,"A340-313, A340-311, A340-213, A340-212, A340-211, A330-343, A330-223, A330-203, A321-232, A321-212, A321-231, A321-211, A321-131, A321-112, A321-111, A320-233, A320-232, A320-231, A320-214, A320-212,","C24703001 : PARKING PRESSURE LIMITER, C24703002 : PARKING PRESSURE LIMITER, C24703003 : PARKING PRESSURE LIMITER, ""GA71213 : PLUG ASSEMBLY (PARKING CONTROL VALVE)""",Messier Bugatti,A88307,no,"C24703001 : PARKING PRESSURE LIMITER, C24703002 : PARKING PRESSURE LIMITER, C24703003 : PARKING PRESSURE LIMITER, ""GA71213 : PLUG ASSEMBLY (PARKING CONTROL VALVE)"""
2570,P00435,Seal,Seal,7cc8750a6e28,10000,10000,,0,"A330-343, A340-211, A340-212, A340-213, A340-311, A340-313, A340-642",962A0000-06 : TRIM AIR VALVE,Liebherr,9116B0002-01,yes,962A0000-06 : TRIM AIR VALVE
2571,P00436,Spindle,Spindle,8a86b9630a04,482.23,482.23,,1,"A310 MODEL 222, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R","8084036H : MULTIWAY SPHERICAL PLUG VALVE, 8084040H : MULTIWAY SPHERICAL PLUG VALVE, 8084240H : MOTORIZED SPHERICAL PLUG VALVE",Flight Refueling,8084556,no,"8084036H : MULTIWAY SPHERICAL PLUG VALVE, 8084040H : MULTIWAY SPHERICAL PLUG VALVE, 8084240H : MOTORIZED SPHERICAL PLUG VALVE"
2572,P00438,Air Diaphragm,Air Diaphragm,d56257e11092,108.21,108.21,,16,"A330-202, A330-203, A330-301, A330-302, A330-303, 747-200B, 747-200F, 747-200C, 747-300, 747-400, 747-400F, 767-200, 767-300, 767-400ER, CF6-45A, CF6-45A2, CF6-50A, CF6-50C, CF6-50CA, CF6-50C1, CF6-5","3290694-2 : PNEU. BUTTERFLY SOV, 3290694-3 : PNEU. BUTTERFLY SOV, 3290694-4 : PNEU. BUTTERFLY SOV, 3290694-5 : PNEU. BUTTERFLY SOV, 3291172-1 : PNEU. BUTTERFLY SOV, 3291172-2 : PNEU. BUTT",Honeywell,974907-1,no,Uncategorized
2573,P00440,Wear Bearing,Wear Bearing,02ad5b2292cb,46.78,46.78,,22,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978514-10 : HP BLEED CONTROL VALVE, 978514-11 : HP BLEED CONTROL VALVE, 978690-11 : HP BLEED CONTROL VALVE, 978690-7 : HP BLEED CONTROL VALVE, 978690-9 : HP BLEED CONTROL VALVE, 978892-2 :",Honeywell,3161919-2,no,Uncategorized
2574,P00441,Ring Set,Ring Set,064f802b96a7,134.35,134.35,,1,"A310 MODEL 204, A310 MODEL 304, A300 MODEL B4-603, A300 MODEL B4-605R, 747-200B, 747-200F, 747-200C, 747-300","978690-11 : HP BLEED CONTROL VALVE, 978690-9 : HP BLEED CONTROL VALVE, 978892-5 : HP BLEED CONTROL VALVE, 978892-6 : HP BLEED CONTROL VALVE",Honeywell,3175615-1,no,"978690-11 : HP BLEED CONTROL VALVE, 978690-9 : HP BLEED CONTROL VALVE, 978892-5 : HP BLEED CONTROL VALVE, 978892-6 : HP BLEED CONTROL VALVE"
2575,P00442,"Ring, Expander","Ring, Expander",524083dfee4c,134.67,134.67,,1,"A310 MODEL 204, A310 MODEL 304, A300 MODEL B4-603, A300 MODEL B4-605R, A300 MODEL C4-605R VARIANT F, 747-200B, 747-200F, 747-200C, 747-300, CF6-80C2A1, CF6-80C2A2, CF6-80C2A3, CF6-80C2A5, CF6-80C2A8","978690-11 : HP BLEED CONTROL VALVE, 978690-9 : HP BLEED CONTROL VALVE, 978892-5 : HP BLEED CONTROL VALVE, 978892-6 : HP BLEED CONTROL VALVE",Honeywell,3176047-1,no,"978690-11 : HP BLEED CONTROL VALVE, 978690-9 : HP BLEED CONTROL VALVE, 978892-5 : HP BLEED CONTROL VALVE, 978892-6 : HP BLEED CONTROL VALVE"
2576,P00443,Seal Ring Set,Seal Ring Set,f2b1be0f526f,170.24,170.24,,3,"A310 MODEL 204, A310 MODEL 304, A300 MODEL B4-603, A300 MODEL B4-605R, 747-200B, 747-200F, 747-200C, 747-300","3214886-2 : PNEU. PRV, ""898806-1 : 6"""" PNEU. PRV""",Honeywell,881787-13,no,"3214886-2 : PNEU. PRV, ""898806-1 : 6"""" PNEU. PRV"""
2577,P00444,Spring Expander,Spring Expander,f180d0e1a616,136.25,136.25,,13,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978514-10 : HP BLEED CONTROL VALVE, 978514-11 : HP BLEED CONTROL VALVE, 978690-11 : HP BLEED CONTROL VALVE, 978690-4 : HP BLEED CONTROL VALVE, 978690-6 : HP BLEED CONTROL VALVE, 978690-7 :",Honeywell,975101-2,no,Uncategorized
2578,P00445,Ring,Ring,9269e3a47956,10000,10000,,6,"747-200B, 747-200F, 747-200C, 747-300, 747-400","719223-3 : TURBINE BYPASS VALVE, 719223-4 : TURBINE BYPASS VALVE",Hamilton Sundstrand,739007-3,yes,"719223-3 : TURBINE BYPASS VALVE, 719223-4 : TURBINE BYPASS VALVE"
2579,P00447,Spring,Spring,cbe1555b1f92,71.37,71.37,,75,"747-200B, 747-200F, 747-200C, 747-300, 747-400","9032-4-2 : RAM AIR CHECK VALVE, 9032-4-3 : RAM AIR CHECK VALVE",Aero Controlex,7090-323200 / 903232,no,"9032-4-2 : RAM AIR CHECK VALVE, 9032-4-3 : RAM AIR CHECK VALVE"
2580,P00448,Pad,Pad,c200d5fbc327,25.4,25.4,,0,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL B4","31042 : SERVO CONTROL, 31043 : SERVO CONTROL, 31055 : SERVO CONTROL",Lucas Aerospace,8507-023,no,"31042 : SERVO CONTROL, 31043 : SERVO CONTROL, 31055 : SERVO CONTROL"
2581,P00449,"Seat, Ball","Seat, Ball",1e8739bb1b96,252.64,252.64,,0,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","31073Series : AILERON SERVOCONTROL, 31075Series : ELEVATOR SERVOCONTROL",Lucas Aerospace,341134,no,"31073Series : AILERON SERVOCONTROL, 31075Series : ELEVATOR SERVOCONTROL"
2582,P00451,Clip,Clip,f64f348d2ec8,59.98,59.98,,98,"737-300, 737-400, 737-500, 737-700, 737-800, 737-600, 737-900, 737-900ER","3214446-2 : HIGH STAGE VALVE, 3214446-3 : HIGH STAGE VALVE, 3214446-4 : HIGH STAGE VALVE, 3214552-6 : PRSOV",Honeywell,3184948-1,no,"3214446-2 : HIGH STAGE VALVE, 3214446-3 : HIGH STAGE VALVE, 3214446-4 : HIGH STAGE VALVE, 3214552-6 : PRSOV"
2583,P00452,"Shaft, Actuator","Shaft, Actuator",976c6c9d8b35,277.25,277.25,,0,"737-300, 737-400, 737-500","172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE",Whittaker Controls,321200,no,"172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE"
2584,P00453,Bushing,Bushing,37d98a285fc6,62.56,62.56,,0,"737-300, 737-400, 737-500, 340A (SAAB/SF340A), SAAB 340B","172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE",Whittaker Controls,322530,no,"172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE"
2585,P00458,"Cord, Coiled","Cord, Coiled",527032067ea0,385.69,385.69,,0,MD-11F,465220-1 : PENDANT ASSEMBLY,TRW Aeronautical Systems,465003-1,no,465220-1 : PENDANT ASSEMBLY
2586,P00459,"Liner, Piston","Liner, Piston",c5ca1e3d6228,337,337,,0,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 324195-1 : PRESSURE ACTUATED BUTTERFLY VALVE, 324425 : SHUTOFF VALVE PARTS, 326215 : ON/OFF",Whittaker Controls,321952-1,no,Uncategorized
2587,P00460,"Bushing, Upper","Bushing, Upper",4ae03f569bcc,551.3,551.3,,0,"737-200, 737-300, 737-500, 737-700, 737-800, 737-600, 747-200B, 747-200C, 747SP, 747-300, 747-400, 737-900, 737-900ER","67-2906-002 : MOTOR OPERATED AIR SHUTOFF VALVE, 67-2985-002 : MOTOR OPERATED AIR SHUTOFF VALVE, 67-2985-003 : MOTOR OPERATED AIR SHUTOFF VALVE",Grimes Aerospace Company,32-0897-9,no,"67-2906-002 : MOTOR OPERATED AIR SHUTOFF VALVE, 67-2985-002 : MOTOR OPERATED AIR SHUTOFF VALVE, 67-2985-003 : MOTOR OPERATED AIR SHUTOFF VALVE"
2588,P00462,Packing,Packing,98b99fc5fb46,35.42,35.42,,19,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-605R, A300 MODEL C4-605R VARIANT F, A318-111, A319-111","405893 : HYDRAULIC MOTOR-PUMP ASSEMBLY, 414470 : HYDRAULIC MOTOR-PUMP ASSEMBLY, 570347 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 624372 : HYDRAULIC MOTORPUMP ASSY, 693335 : HYDRAULIC MOTORPUM",Eaton Vickers,367272,no,Uncategorized
2589,P00464,Shoe Bearing Plate,Shoe Bearing Plate,16ced2a8d716,10000,10000,,0,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-605R, A300 MODEL C4-605R VARIANT F, A318-111, A319-111","405893 : HYDRAULIC MOTOR-PUMP ASSEMBLY, 414470 : HYDRAULIC MOTOR-PUMP ASSEMBLY, 624372 : HYDRAULIC MOTORPUMP ASSY, 693335 : HYDRAULIC MOTORPUMP ASSY, 693830 : VARIABLE DISPLACEMENT HYDRAULI",Eaton Vickers,370327,yes,Uncategorized
2590,P00467,Valve Plug,Valve Plug,6efcb96cab89,713.91,713.91,,0,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R","7945201H : MOTORIZED WATER VALVE, 7945217F : MOTORIZED WATER VALVE",Flight Refueling,7940510,no,"7945201H : MOTORIZED WATER VALVE, 7945217F : MOTORIZED WATER VALVE"
2591,P00468,"Bearing, Guide","Bearing, Guide",3206bc092d22,47.75,47.75,,4,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE, 324195-1 : PRESSURE ACTUATED BUTTERFL",Whittaker Controls,224887-2,no,Uncategorized
2592,P00469,"Bearing, Guide","Bearing, Guide",c05d509f26b5,26,26,,5,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE, 32419",Whittaker Controls,224887-3,no,Uncategorized
2593,P00470,"Seal, Slipper","Seal, Slipper",6042e1728ca5,49.44,49.44,,2,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE, 32419",Whittaker Controls,224888-2,no,Uncategorized
2594,P00471,"Seal, Slipper","Seal, Slipper",c34043ac1bce,38.4,38.4,,0,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE, 32419",Whittaker Controls,224888-3,no,Uncategorized
2595,P00472,"Bearing, Carbon","Bearing, Carbon",b3581c9c6cab,46.85,46.85,,0,"737-300, 737-400, 737-500, 340A (SAAB/SF340A), SAAB 340B","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE",Whittaker Controls,229711-1,no,"172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE"
2596,P00473,"Seat, Ball","Seat, Ball",1d2bd0faa0ca,10000,10000,,0,"A318-111, A319-111, A319-112, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211, A321-231","60592-101 : A319/A320/A321 EVACUATION SYS. RESERVOIR AND VALVE ASSY., 60592-103 : A319/A320/A321 EVACUATION SYS. RESERVOIR AND VALVE ASSY., 61639-103 : A321 EVACUATION SYS. RESERVOIR AND VALVE",Air Cruisers,B14246-1,yes,"60592-101 : A319/A320/A321 EVACUATION SYS. RESERVOIR AND VALVE ASSY., 60592-103 : A319/A320/A321 EVACUATION SYS. RESERVOIR AND VALVE ASSY., 61639-103 : A321 EVACUATION SYS. RESERVOIR AND VALVE ASSY."
2597,P00479,Retainer,Retainer,936f050d613e,10000,10000,,3,"A310 MODEL 204, A310 MODEL 222, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-605R, A300 MODEL C4-605R VARIANT F, A319-111, A319-","727972C : INTEGRATED DRIVE GENERATOR (IDG), 727972D : INTEGRATED DRIVE GENERATOR (IDG), 727972E : INTEGRATED DRIVE GENERATOR (IDG), 727972F : INTEGRATED DRIVE GENERATOR (IDG), 727972G : INT",Hamilton Sundstrand,714933,yes,Uncategorized
2598,P00483,"Screw, Machine","Screw, Machine",4787bfabab90,22.53,22.53,,0,"737-300, 737-400, 737-500",172625-7 : NOSE COWL TAI VALVE,Whittaker Controls,322651,no,172625-7 : NOSE COWL TAI VALVE
2599,P00484,"Washer, Thrust","Washer, Thrust",2737175f992c,44.45,44.45,,3,"A318-111, A318-112, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE, 32419",Whittaker Controls,222347,no,Uncategorized
2600,P00485,"Spring, Compression","Spring, Compression",c2eb9bd7a1a9,38.88,38.88,,0,"737-300, 737-400, 737-500","172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE",Whittaker Controls,321960,no,"172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE"
2601,P00486,"Pin, Quick Release","Pin, Quick Release",ab18e7355863,95.9,95.9,,0,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A319-131, A319-132, A319-133, A320-111, A320-211, A320-212, A320-214, A320-231, A320-232, A320-233, A321-111, A321-112, A321-131, A321-211,","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 324195-1 : PRESSURE ACTUATED BUTTERFLY VALVE, 324425 : SHUTOFF VALVE PARTS",Whittaker Controls,229719-4,no,"172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 324195-1 : PRESSURE ACTUATED BUTTERFLY VALVE, 324425 : SHUTOFF VALVE PARTS"
2602,P00487,"Seal, Thread","Seal, Thread",1a619d819f06,5.2,5.2,,2,"A319-131, A319-132, A319-133, A320-232, A320-233, A321-131, A321-231, 737-300, 737-400, 737-500","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE",Whittaker Controls,200561-4,no,"172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE"
2603,P00488,"Seal, Thread","Seal, Thread",5a65f581f7e6,10000,10000,,0,"A318-111, A319-111, A319-112, A319-113, A319-114, A319-115, A320-111, A320-211, A320-212, A320-214, A321-111, A321-112, A321-211, 737-300, 737-400, 737-500, 340A (SAAB/SF340A), SAAB 340B","172625-5 : NOSE COWL TAI VALVE, 172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE, 32715",Whittaker Controls,200561-4A,yes,Uncategorized
2604,P00489,Bushing,Bushing,299e661295cf,35.49,35.49,,5,"737-300, 737-400, 737-500, 340A (SAAB/SF340A), SAAB 340B","172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE",Whittaker Controls,322531-1,no,"172625-7 : NOSE COWL TAI VALVE, 321935 : PRESSURE ACTUATED BUTTERFLY VALVE, 321945 : PRESSURE ACTUATED BUTTERFLY VALVE"
2605,P00490,Cam,Cam,19f013458d10,144.2,144.2,,0,"737-300, 737-400, 737-500","172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE",Whittaker Controls,321509,no,"172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE"
2606,P00491,Diaphragm,Diaphragm,ebaae8d7409a,50,50,,0,"737-300, 737-400, 737-500","172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE",Whittaker Controls,321247,no,"172625-6 : NOSE COWL TAI VALVE, 172625-7 : NOSE COWL TAI VALVE"
